Date,Time,NQ
1130901,1730,3007
1130901,1745,3009.25
1130901,1800,3009.75
1130901,1815,3009
1130901,1830,3009.25
1130901,1845,3009
1130901,1900,3009
1130901,1915,3009.75
1130901,1930,3009.75
1130901,1945,3010
1130901,2000,3009.25
1130901,2015,3009
1130901,2030,3009.5
1130901,2045,3009.75
1130901,2100,3010.25
1130901,2115,3008.75
1130901,2130,3008.25
1130901,2145,3008.25
1130901,2200,3007.5
1130901,2215,3008.75
1130901,2230,3009.5
1130901,2245,3011
1130901,2300,3010
1130901,2315,3011.5
1130901,2330,3011.5
1130901,2345,3011.5
1130902,0,3011
1130902,15,3010.75
1130902,30,3012.25
1130902,45,3012
1130902,100,3012
1130902,115,3012.75
1130902,130,3014.25
1130902,145,3014.75
1130902,200,3012.75
1130902,215,3015.5
1130902,230,3015
1130902,245,3015.75
1130902,300,3015.75
1130902,315,3015.5
1130902,330,3017
1130902,345,3018.25
1130902,400,3018
1130902,415,3017
1130902,430,3016
1130902,445,3017
1130902,500,3017.25
1130902,515,3016
1130902,530,3019
1130902,545,3019.5
1130902,600,3020.5
1130902,615,3019.5
1130902,630,3019.75
1130902,645,3022.75
1130902,700,3021.5
1130902,715,3021.5
1130902,730,3021.5
1130902,745,3021
1130902,800,3019.75
1130902,815,3019.5
1130902,830,3019
1130902,845,3018.25
1130902,900,3020
1130902,915,3020.75
1130902,930,3020.75
1130902,945,3020.5
1130902,1000,3023.25
1130902,1015,3021
1130902,1030,3021
1130902,1715,3020.5
1130902,1730,3019.5
1130902,1745,3018.25
1130902,1800,3019
1130902,1815,3019.25
1130902,1830,3019.75
1130902,1845,3019.75
1130902,1900,3018
1130902,1915,3019.75
1130902,1930,3021.5
1130902,1945,3021
1130902,2000,3022
1130902,2015,3021.75
1130902,2030,3021.5
1130902,2045,3021.25
1130902,2100,3021.25
1130902,2115,3021.5
1130902,2130,3021.25
1130902,2145,3021.5
1130902,2200,3021
1130902,2215,3021
1130902,2230,3021.75
1130902,2245,3022.75
1130902,2300,3022.25
1130902,2315,3021.5
1130902,2330,3022
1130902,2345,3021.5
1130903,0,3020.25
1130903,15,3021.5
1130903,30,3021.75
1130903,45,3022.25
1130903,100,3021.5
1130903,115,3022.75
1130903,130,3023
1130903,145,3022.5
1130903,200,3022.75
1130903,215,3019.75
1130903,230,3021.5
1130903,245,3019.75
1130903,300,3020.75
1130903,315,3019.5
1130903,330,3019
1130903,345,3014.5
1130903,400,3006.75
1130903,415,3005
1130903,430,3008.5
1130903,445,3006.25
1130903,500,3004.25
1130903,515,3005.5
1130903,530,3010.75
1130903,545,3009.75
1130903,600,3009.75
1130903,615,3008
1130903,630,3007.75
1130903,645,3005
1130903,700,3005
1130903,715,3006.5
1130903,730,3005.5
1130903,745,3007.75
1130903,800,3010
1130903,815,3009.75
1130903,830,3011
1130903,845,3018
1130903,900,3019.75
1130903,915,3023
1130903,930,3016
1130903,945,3020.5
1130903,1000,3018.5
1130903,1015,3023.5
1130903,1030,3007
1130903,1045,3005.5
1130903,1100,3005.5
1130903,1115,3006.75
1130903,1130,3005
1130903,1145,3003.75
1130903,1200,2996.5
1130903,1215,2998.75
1130903,1230,2999
1130903,1245,2994.25
1130903,1300,2990.25
1130903,1315,2995
1130903,1330,2993.75
1130903,1345,2992.5
1130903,1400,2999
1130903,1415,3005.5
1130903,1430,3004.5
1130903,1445,3006.25
1130903,1500,3002
1130903,1515,3002.5
1130903,1545,3000
1130903,1600,3001.5
1130903,1715,2999.75
1130903,1730,2998.25
1130903,1745,2999
1130903,1800,2999.5
1130903,1815,2999
1130903,1830,2999.25
1130903,1845,2999.25
1130903,1900,2999.75
1130903,1915,3000
1130903,1930,2999.5
1130903,1945,2998.5
1130903,2000,2999
1130903,2015,2999.75
1130903,2030,2999.25
1130903,2045,3001.5
1130903,2100,3001.75
1130903,2115,3000.5
1130903,2130,3001.25
1130903,2145,3000.75
1130903,2200,3000.5
1130903,2215,3000.75
1130903,2230,3000.75
1130903,2245,3002.75
1130903,2300,3003.5
1130903,2315,3002.75
1130903,2330,3003.25
1130903,2345,3006
1130904,0,3006.75
1130904,15,3007
1130904,30,3008
1130904,45,3007.75
1130904,100,3007.75
1130904,115,3007.25
1130904,130,3005.5
1130904,145,3005.75
1130904,200,3005.5
