Date,Time,NQ
1130902,0,3011
1130903,0,3020.25
1130904,0,3006.75
1130905,0,3044.5
1130906,0,3038.75
1130908,1715,3050.25
1130909,0,3052.5
1130910,0,3082.5
1130911,0,3092
1130912,0,3092
1130913,0,3092.5
1130915,1715,3123.75
1130916,0,3124
1130917,0,3077
1130918,0,3109
1130919,0,3147
1130920,0,3148.5
1130922,1715,3139.75
1130923,0,3142
1130924,0,3126.25
1130925,0,3135.75
1130926,0,3127.25
1130927,0,3147.5
1130929,1715,3122.5
1130930,0,3125.75
1131001,0,3137.25
1131002,0,3161.25
1131003,0,3155.75
1131004,0,3120.5
1131006,1715,3144
1131007,0,3138.5
1131008,0,3125.75
1131009,0,3078
1131010,0,3063.25
1131011,0,3116
1131013,1715,3120.25
1131014,0,3127.75
1131015,0,3172.5
1131016,0,3171
1131017,0,3181.75
1131018,0,3235.25
1131020,1715,3263.5
1131021,0,3267.25
1131022,0,3272.25
1131023,0,3263.5
1131024,0,3268.5
1131025,0,3293
1131027,1715,3294
1131028,0,3305.5
1131029,0,3294.25
1131030,0,3307.75
1131031,0,3290.25
1131101,0,3291.25
1131103,1715,3287
1131104,0,3294.75
1131105,0,3297.25
1131106,0,3310.5
1131107,0,3291.75
1131108,0,3244.75
1131110,1715,3276.25
1131111,0,3276
1131112,0,3276
1131113,0,3268.75
1131114,0,3317.75
1131115,0,3335.5
1131117,1715,3338
1131118,0,3333.75
1131119,0,3307.5
1131120,0,3295.25
1131121,0,3282.5
1131122,0,3319.25
1131124,1715,3344.25
1131125,0,3349.25
1131126,0,3353.25
1131127,0,3367.25
1131128,0,3395.75
1131129,0,3400.75
1131201,1715,3412
1131202,0,3411.25
1131203,0,3403.5
1131204,0,3396
1131205,0,3398.5
1131206,0,3403.75
1131208,1715,3431.5
1131209,0,3430.75
1131210,0,3441.75
1131211,0,3432.75
1131212,0,3389
1131213,0,3387.5
1131215,1715,3379.75
1131216,0,3361.5
1131217,0,3395
1131218,0,3392
1131219,0,3426
1131220,0,3423.5
1131222,1715,3468
1131223,0,3473
1131224,0,3489
1131226,515,3500.25
1131227,0,3506.25
1131229,1715,3493.25
1131230,0,3495.5
1131231,0,3490
1140102,515,3496
1140103,0,3475.25
1140105,1715,3458.25
1140106,0,3456.25
1140107,0,3448.5
1140108,0,3476.25
1140109,0,3489.25
1140110,0,3477.75
1140112,1715,3483.75
1140113,0,3477.25
1140114,0,3431.5
1140115,0,3497.5
1140116,0,3525.25
1140117,0,3522.25
1140119,1715,3507.75
1140120,0,3507.5
1140121,0,3529.75
1140122,0,3541.5
1140123,0,3542.25
1140124,0,3534.75
1140126,1715,3448
1140127,0,3457.25
1140128,0,3404
1140129,0,3444
1140130,0,3406.5
1140131,0,3438.25
1140202,1715,3443.25
1140203,0,3441.25
1140204,0,3362.75
1140205,0,3368.5
1140206,0,3375.5
1140207,0,3417.5
1140209,1715,3486.25
1140210,0,3484.75
1140211,0,3512.5
1140212,0,3544.5
1140213,0,3530.75
1140214,0,3564.75
1140216,1715,3586.75
1140217,0,3584
1140218,0,3592.25
1140219,0,3596.25
1140220,0,3566.5
1140221,0,3605.25
1140223,1715,3590.25
1140224,0,3586.75
1140225,0,3609.75
1140226,0,3620.25
1140227,0,3610.75
1140228,0,3623.75
1140302,1730,3589.5
1140303,0,3592.25
1140304,0,3603.75
1140305,0,3640.75
1140306,0,3655.25
1140307,0,3650.25
1140309,1715,3625
1140310,0,3620
1140311,0,3629.75
1140312,0,3610.75
1140313,0,3642.5
1140314,0,3578.5
1140316,1715,3553
1140317,0,3548.25
1140318,0,3587
1140319,0,3629.5
1140320,0,3599.5
1140321,0,3624.25
1140323,1715,3571.75
1140324,0,3569.5
1140325,0,3546.25
1140326,0,3559
1140327,0,3508
1140328,0,3492
1140330,1715,3506.25
1140331,0,3509.25
1140401,0,3517.5
1140402,0,3588.5
1140403,0,3588.5
1140404,0,3568
1140406,1715,3467.25
1140407,0,3460.75
1140408,0,3436.75
1140409,0,3463.25
1140410,0,3520.75
1140411,0,3413.5
1140413,1715,3365.5
1140414,0,3369.75
1140415,0,3403.25
1140416,0,3437.5
1140417,0,3427.5
1140420,1715,3460.5
1140421,0,3464
1140422,0,3485
1140423,0,3512.5
1140424,0,3522.25
1140425,0,3515
1140427,1715,3460.75
1140428,0,3459.5
1140429,0,3479
1140430,0,3482
1140501,0,3505.75
1140502,0,3516.75
1140504,1715,3507.75
1140505,0,3506
1140506,0,3526.5
1140507,0,3479.5
1140508,0,3474
1140509,0,3466.75
1140511,1715,3482.5
1140512,0,3487.25
1140513,0,3546.75
1140514,0,3543.75
1140515,0,3529.5
1140516,0,3493
1140518,1715,3519.5
1140519,0,3514.75
1140520,0,3545
1140521,0,3527.5
1140522,0,3573.5
1140523,0,3582.5
1140525,1715,3615.75
1140526,0,3610.25
1140527,0,3618.5
1140528,0,3655
1140529,0,3649.75
1140530,0,3662.5
1140601,1715,3664
1140602,0,3668.5
1140603,0,3656.75
1140604,0,3657.75
1140605,0,3672.25
1140606,0,3712.75
1140608,1715,3728.75
1140609,0,3728
1140610,0,3719
1140611,0,3728.75
1140612,0,3730.5
1140613,0,3708
1140615,1715,3706.25
1140616,0,3693.25
1140617,0,3715
1140618,0,3714
1140619,0,3736
1140620,0,3724.75
1140622,1715,3729.5
1140623,0,3740
1140624,0,3729.25
1140625,0,3723.5
1140626,0,3754.5
1140627,0,3750.25
1140629,1715,3772.5
1140630,0,3772.5
1140701,0,3785.5
1140702,0,3823.75
1140703,0,3827.25
1140704,0,3853.5
1140706,1715,3851.75
1140707,0,3849.75
1140708,0,3840.75
1140709,0,3799
1140710,0,3820.25
1140711,0,3813.25
1140713,1715,3839.5
1140714,0,3842.25
1140715,0,3863
1140716,0,3853
1140717,0,3852
1140718,0,3810.5
1140720,1715,3865.5
1140721,0,3866.25
1140722,0,3867.75
1140723,0,3886.75
1140724,0,3914
1140725,0,3897
1140727,1715,3894.5
1140728,0,3890.75
1140729,0,3894.25
1140730,0,3897.25
1140731,0,3902
1140801,0,3835.5
1140803,1715,3817.75
1140804,0,3821
1140805,0,3830
1140806,0,3811.5
1140807,0,3807.25
